"","Jurkat","KMBC2","MCF7","231"
"O43151",-3,-5.97,-5.05,-5.03
"O43156",-1.03,-3.5,0.157,0.226
"O43157",0.0884,-1.19,-0.145,-0.35
"O43159",-4.32,-2.97,-0.927,-1.2
"O43166",-3.59,-3.78,-2.58,-2.25
"O43169",-1.58,-2.35,0.254,-0.531
"O43172",-2.51,-3.79,-0.857,-2.27
"O43175",-2.46,-2.01,-0.809,-1.18
"O43181",0.0884,-2.81,-0.145,-0.35
"O43187",0.0884,-4.52,-0.145,-3.77
"O43189",-0.575,-2.19,-1.58,-2.21
"O43237",-4.04,-3.6,-0.473,-0.958
"O43242",-1.85,-1.62,-0.622,-1.63
"O43246",0.0884,-0.643,-0.145,-0.35
"O43248",0.0884,-0.643,-0.145,-0.35
"O43251;Q9NWB1;A6NFN3",-0.739,-0.595,-0.25,-0.406
"O43252",-3.61,-4.93,-0.419,-3.74
"O43264",-3.41,-3.42,-1.03,-1.36
"O43272",0.0884,-0.643,-0.145,-0.35
"O43278",0.0884,-1.95,-0.0319,-0.35
"O43290",-1.55,-1.1,-0.227,-1.38
"O43292",0.0884,-3.59,-1.19,0.656
"O43293",-3.74,-4.84,-0.778,-3.18
"O43294",-0.763,-2.58,-0.626,-3.02
"O43295",0.0884,-4.95,-0.145,-0.35
"O43298",-1.07,-6.36,-5.43,-6.69
"O43299",0.0884,-0.643,-0.789,-0.35
"O43303",-10.3,-8.82,-4.69,-8.31
"O43306",0.0884,-1.44,0.0167,-0.35
"O43310",0.0884,-0.643,-0.145,-0.35
"O43312",0.0884,-0.643,-0.145,-0.35
"O43314",-0.942,-0.899,-0.751,-2.21
"O43318",-3.7,-2.9,-1.53,-2.83
"O43324",-2.16,-4.79,-0.343,-1.3
"O43353",0.0884,-1.9,-0.145,-2.67
"O43374;C9J798",0.0884,-3.03,0.242,-0.35
"O43379",-3.03,-3.63,-0.145,-1.96
"O43390",-0.573,1.86e-05,-0.561,-0.194
"O43395",-2.22,-2.07,-0.973,-1.66
"O43396",-3.42,-3.15,-1.39,-2.47
"O43399",-1.41,-1.9,0.0767,-2.77
"O43402",-2.09,-1.55,-0.897,-1.96
"O43422",-0.738,-3.46,-2.97,-5.15
"O43423;O95626;P39687",-1.22,-3.66,2.07,-2.63
"O43427",-2.24,-4.09,-2.67,-3.11
"O43432",-0.414,-1.05,-0.788,-3.72
"O43432;Q04637",-2.6,-4.31,-1.16,-0.251
"O43439",-5.52,-6.81,-4.39,-6.57
"O43447",-4.16,-3.54,-0.782,-2.61
"O43463",-1.98,-0.643,-0.145,-4.48
"O43464",-1.76,-3.51,-0.313,-2.01
"O43474",0.0884,-6.21,-5.51,-8.01
"O43482",-4.47,-5.04,-3.79,-5.06
"O43488",-3.65,-4.54,-0.887,-1.06
